Copyright © 2016 by Radomir Tinkov. All rights reserved.,Gilroy-Medium,Regular,1.000;UKWN;Gilroy-Medium,Gilroy-Medium,Version 1.000;PS 001.000;hotconv 1.0.88;makeotf.lib2.5.64775,Gilroy-Medium,,Radomir Tinkov,Radomir Tinkov,,www.tinkov.info,www.tinkov.info,,,,Gilroy,Medium,,
Copyright (C) 2017 by original authors @ fontello.com,fontello,Regular,fontello,fontello,Version 1.0,fontello,,,,Generated by svg2ttf from Fontello project.,http://fontello.com,,,,,,,,
Copyright (C) 2015 by original authors @ fontello.com,minicart-font,Regular,minicart-font,minicart-font,Version 1.0,minicart-font,,,,Generated by svg2ttf from Fontello project.,http://fontello.com,,,,,,,,
Copyright 2011 The Montserrat Project Authors (https://github.com/JulietaUla/Montserrat),Montserrat,SemiBold,7.200;ULA ;Montserrat-SemiBold,Montserrat SemiBold,Version 7.200,Montserrat-SemiBold,,Julieta Ulanovsky,Julieta Ulanovsky,,http://www.zkysky.com.ar/,http://www.zkysky.com.ar/,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,,Montserrat,SemiBold,,
"Copyright of design and/or digital redesign and Trademark by Veronika Elsner, Guenther Flake GbR or its licensors. Copyright of digital font software by Veronika Elsner, Guenther Flake GbR. This font software may not be reproduced, modified, decoded, disclosed, or transferred without the written approval of Veronika Elsner, Guenther Flake GbR. All rights reserved. Veronika Elsner, Guenther Flake GbR reserve the right of changes and to revise this font software and change the contents without any obligation to notify any person of such revision or changes. Die Rechte am Schriftdesign und/oder am digitalen Redesign sowie an den Warenzeichen liegen bei der Veronika Elsner, Guenther Flake GbR oder deren Lizenzgebern. Die Rechte an der digitalen Fontsoftware liegen bei der Veronika Elsner, Guenther Flake GbR. Es ist nicht erlaubt, diese Fontsoftware ohne das schriftliche Einverstaendnis der Veronika Elsner, Guenther Flake GbR zu reproduzieren, zu modifizieren, zu entschluesseln, offen zu legen oder zu uebertragen. Alle Rechte vorbehalten. Die Veronika Elsner, Guenther Flake GbR behaelt sich das Recht vor, diese Fontsoftware auszutauschen oder Bestandteile dieser Fontsoftware zu aendern, ohne Dritte zuvor davon in Kenntnis zu setzen.",WindsorEF-Bold,Regular,"Veronika Elsner, Guenther Flake GbR; Hamburg WindsorEF-Bold: 2009",WindsorEF-Bold Regular,Version 2.00 2003 initial release,WindsorEF-Bold,"Windsor  is a Trademark or Registered Trademark of Elsner, Flake GbR or their Licensors.","Veronika Elsner, Guenther Flake GbR; Hamburg","Digital Redesign Elsner, Flake Designstudios, 1985 (Stephenson & Blake, 1903)",,www.elsner-flake.com,www.fonts4ever.com,Please refer to www.fonts4ever.com/download/licenses,www.fonts4ever.com,,WindsorEF-Bold,Regular,,
,fl-icons,Regular,fl-icons,fl-icons,Version 1.1,fl-icons,,,,Font generated by IcoMoon.,,,,,,,,,
Copyright (c) Font Awesome,Font Awesome 5 Free Solid,Solid,Font Awesome 5 Free Solid-5.15.3,Font Awesome 5 Free Solid,331.523 (Font Awesome version: 5.15.3),FontAwesome5Free-Solid,,,,The web's most popular icon set and toolkit.,https://fontawesome.com,,,,,Font Awesome 5 Free,Solid,Font Awesome 5 Free Solid,
,modules,Regular,modules,modules,Version 2.4,modules,,,,Font generated by IcoMoon.,,,,,,,,,
"Copyright (c) 2015, Impallari Type (www.impallari.com)",Public Sans Light,Regular,1.007;NONE;PublicSans-Light,Public Sans Light,Version 1.007,PublicSans-Light,,,The Public Sans Project Authors: Dan O. Williams and USWDS (Libre Franklin designed by Pablo Impallari and Rodrigo Fuenzalida),"Public Sans is based on Libre Franklin, which is a reinterpretation and expansion of the 1912 Morris Fuller Benton’s classic.",,https://designsystem.digital.gov,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,,Public Sans,Light,,
,Ubuntu Light,Bold,DaltonMaagLtd: Ubuntu Medium 0.83,Ubuntu Medium,0.83,Ubuntu-Medium,,,,,,,,,,,,,
"Copyright 2010, 2012, 2014 Adobe Systems Incorporated (http://www.adobe.com/), with Reserved Font Name ‘Source’.",Source Sans Pro SemiBold,Regular,2.021;ADBO;SourceSansPro-SemiBold,Source Sans Pro SemiBold,Version 2.021;PS 2.000;hotconv 1.0.86;makeotf.lib2.5.63406,SourceSansPro-SemiBold,Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.,Adobe Systems Incorporated,Paul D. Hunt,,http://www.adobe.com/type,,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL. This Font Software is distributed on an ‘AS IS’ BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.",http://scripts.sil.org/OFL,,Source Sans Pro,SemiBold,,
Copyright (c) Font Awesome,Font Awesome 5 Free Solid,Solid,Font Awesome 5 Free Solid-5.15.3,Font Awesome 5 Free Solid,331.523 (Font Awesome version: 5.15.3),FontAwesome5Free-Solid,,,,The web's most popular icon set and toolkit.,https://fontawesome.com,,,,,Font Awesome 5 Free,Solid,Font Awesome 5 Free Solid,
,modules,Regular,modules,modules,Version 2.4,modules,,,,Font generated by IcoMoon.,,,,,,,,,
